Date,Close
1/2/2019 16:00:00,28.81
1/3/2019 16:00:00,27.99
1/4/2019 16:00:00,29.95
1/7/2019 16:00:00,31.34
1/8/2019 16:00:00,31.8
1/9/2019 16:00:00,32.25
1/10/2019 16:00:00,33.09
1/11/2019 16:00:00,32.87
1/14/2019 16:00:00,32.37
1/15/2019 16:00:00,33.02
1/16/2019 16:00:00,32.47
1/17/2019 16:00:00,32.85
1/18/2019 16:00:00,33.27
1/22/2019 16:00:00,32.25
1/23/2019 16:00:00,30.97
1/24/2019 16:00:00,31.61
1/25/2019 16:00:00,32.9
1/28/2019 16:00:00,33.13
1/29/2019 16:00:00,31.64
1/30/2019 16:00:00,32.26
1/31/2019 16:00:00,33.56
2/1/2019 16:00:00,33.19
2/4/2019 16:00:00,33.94
2/5/2019 16:00:00,34.37
2/6/2019 16:00:00,34.16
2/7/2019 16:00:00,30.8
2/8/2019 16:00:00,30.01
2/11/2019 16:00:00,30.23
2/12/2019 16:00:00,30.39
2/13/2019 16:00:00,31.12
2/14/2019 16:00:00,30.96
2/15/2019 16:00:00,31.23
2/19/2019 16:00:00,31.65
2/20/2019 16:00:00,31.37
2/21/2019 16:00:00,30.76
2/22/2019 16:00:00,31.71
2/25/2019 16:00:00,31.99
2/26/2019 16:00:00,31.01
2/27/2019 16:00:00,30.41
2/28/2019 16:00:00,30.78
3/1/2019 16:00:00,30.62
3/4/2019 16:00:00,30.5
3/5/2019 16:00:00,31.03
3/6/2019 16:00:00,30.8
3/7/2019 16:00:00,30.12
3/8/2019 16:00:00,30.04
3/11/2019 16:00:00,30.87
3/12/2019 16:00:00,31.16
3/13/2019 16:00:00,31.3
3/14/2019 16:00:00,31.03
3/15/2019 16:00:00,31.22
3/18/2019 16:00:00,31.08
3/19/2019 16:00:00,31.27
3/20/2019 16:00:00,32.57
3/21/2019 16:00:00,32.61
3/22/2019 16:00:00,33.02
3/25/2019 16:00:00,32.59
3/26/2019 16:00:00,33.06
3/27/2019 16:00:00,32.28
